7:51:0	7:51:1	0.000000
7:51:1	7:51:2	0.000000
7:51:2	7:51:3	0.000000
7:51:3	7:51:4	0.000000
7:51:4	7:51:5	0.000000
7:51:5	7:51:6	0.000000
7:51:6	7:51:7	0.000000
7:51:7	7:51:8	0.000000
7:51:8	7:51:9	0.000000
7:51:9	7:51:10	0.000000
7:51:10	7:51:11	0.000000
7:51:11	7:51:12	0.000000
7:51:12	7:51:13	0.000000
7:51:13	7:51:14	0.000000
7:51:14	7:51:15	0.000000
7:51:15	7:51:16	0.000000
7:51:16	7:51:17	0.000000
7:51:17	7:51:18	0.000000
7:51:18	7:51:19	0.000000
7:51:19	7:51:20	0.000000
7:51:20	7:51:21	0.000000
7:51:21	7:51:22	0.000000
7:51:22	7:51:23	0.000000
7:51:23	7:51:24	0.000000
7:51:24	7:51:25	0.000000
7:51:25	7:51:26	0.000000
7:51:26	7:51:27	0.000000
7:51:27	7:51:28	0.000000
7:51:28	7:51:29	0.000000
7:51:29	7:51:30	0.000000
7:51:30	7:51:31	0.000000
7:51:31	7:51:32	0.000000
7:51:32	7:51:33	0.000000
7:51:33	7:51:34	0.000000
7:51:34	7:51:35	0.000000
7:51:35	7:51:36	0.000000
7:51:36	7:51:37	0.000000
7:51:37	7:51:38	0.000000
7:51:38	7:51:39	0.000000
7:51:39	7:51:40	0.000000
7:51:40	7:51:41	0.000000
7:51:41	7:51:42	0.000000
7:51:42	7:51:43	0.000000
7:51:43	7:51:44	0.000000
7:51:44	7:51:45	0.000000
7:51:45	7:51:46	0.000000
7:51:46	7:51:47	0.000000
7:51:47	7:51:48	0.000000
7:51:48	7:51:49	0.000000
7:51:49	7:51:50	0.000000
7:51:50	7:51:51	0.000000
7:51:51	7:51:52	0.000000
7:51:52	7:51:53	0.000000
7:51:53	7:51:54	0.000000
7:51:54	7:51:55	0.000000
7:51:55	7:51:56	0.000000
7:51:56	7:51:57	0.000000
7:51:57	7:51:58	0.000000
7:51:58	7:51:59	0.000000
7:51:59	7:52:0	0.000000
7:52:0	7:52:1	0.000000
