Car reached at: 67, Time: Mon Nov 27 07:12:27 CST 2006, sensor: 
Car reached at: 68, Time: Mon Nov 27 07:12:27 CST 2006, sensor: 
Car reached at: 78, Time: Mon Nov 27 07:12:37 CST 2006, sensor: 
Car reached at: 129, Time: Mon Nov 27 07:12:49 CST 2006, sensor: 
Car reached at: 106, Time: Mon Nov 27 07:17:43 CST 2006, sensor: 
Car reached at: 135, Time: Mon Nov 27 07:18:26 CST 2006, sensor: 
Car reached at: 80, Time: Mon Nov 27 07:19:24 CST 2006, sensor: 
Car reached at: 77, Time: Mon Nov 27 07:22:08 CST 2006, sensor: 
Car reached at: 66, Time: Mon Nov 27 07:27:04 CST 2006, sensor: 
Car reached at: 65, Time: Mon Nov 27 07:28:47 CST 2006, sensor: 18
Car reached at: 74, Time: Mon Nov 27 07:30:37 CST 2006, sensor: 5
Car reached at: 70, Time: Mon Nov 27 07:31:10 CST 2006, sensor: 6
Car reached at: 76, Time: Mon Nov 27 07:34:09 CST 2006, sensor: 20
Car reached at: 133, Time: Mon Nov 27 07:34:19 CST 2006, sensor: 
Car reached at: 136, Time: Mon Nov 27 07:37:58 CST 2006, sensor: 
Car reached at: 69, Time: Mon Nov 27 07:40:12 CST 2006, sensor: 
Car reached at: 75, Time: Mon Nov 27 07:42:13 CST 2006, sensor: 
Car reached at: 91, Time: Mon Nov 27 07:42:33 CST 2006, sensor: 
Car reached at: 100, Time: Mon Nov 27 07:44:44 CST 2006, sensor: 34
Car reached at: 71, Time: Mon Nov 27 07:47:07 CST 2006, sensor: 
Car reached at: 73, Time: Mon Nov 27 07:48:44 CST 2006, sensor: 
Car reached at: 134, Time: Mon Nov 27 07:48:48 CST 2006, sensor: 
Car reached at: 116, Time: Mon Nov 27 07:49:04 CST 2006, sensor: 23
Car reached at: 99, Time: Mon Nov 27 07:49:11 CST 2006, sensor: 
Car reached at: 101, Time: Mon Nov 27 07:51:22 CST 2006, sensor: 
Car reached at: 79, Time: Mon Nov 27 07:54:24 CST 2006, sensor: 29
Car reached at: 103, Time: Mon Nov 27 07:57:33 CST 2006, sensor: 
Car reached at: 130, Time: Mon Nov 27 07:57:54 CST 2006, sensor: 
Car reached at: 95, Time: Mon Nov 27 07:59:55 CST 2006, sensor: 36
Car reached at: 81, Time: Mon Nov 27 08:01:44 CST 2006, sensor: 
Car reached at: 98, Time: Mon Nov 27 08:01:52 CST 2006, sensor: 
Car reached at: 96, Time: Mon Nov 27 08:02:27 CST 2006, sensor: 
Car reached at: 107, Time: Mon Nov 27 08:03:21 CST 2006, sensor: 
Car reached at: 72, Time: Mon Nov 27 08:06:25 CST 2006, sensor: 
Car reached at: 110, Time: Mon Nov 27 08:07:56 CST 2006, sensor: 30
Car reached at: 132, Time: Mon Nov 27 08:08:30 CST 2006, sensor: 
Car reached at: 82, Time: Mon Nov 27 08:09:32 CST 2006, sensor: 28
Car reached at: 118, Time: Mon Nov 27 08:09:48 CST 2006, sensor: 3
Car reached at: 102, Time: Mon Nov 27 08:12:41 CST 2006, sensor: 
Car reached at: 117, Time: Mon Nov 27 08:12:51 CST 2006, sensor: 
Car reached at: 115, Time: Mon Nov 27 08:13:03 CST 2006, sensor: 
