Car reached at: 91, Time: Tue Nov 28 07:50:03 CST 2006, sensor: 
Car reached at: 74, Time: Tue Nov 28 07:50:08 CST 2006, sensor: 
Car reached at: 73, Time: Tue Nov 28 07:50:08 CST 2006, sensor: 
Car reached at: 71, Time: Tue Nov 28 07:50:10 CST 2006, sensor: 
Car reached at: 75, Time: Tue Nov 28 07:50:14 CST 2006, sensor: 
Car reached at: 76, Time: Tue Nov 28 07:50:36 CST 2006, sensor: 
Car reached at: 65, Time: Tue Nov 28 07:51:19 CST 2006, sensor: 
Car reached at: 66, Time: Tue Nov 28 07:51:20 CST 2006, sensor: 
Car reached at: 67, Time: Tue Nov 28 07:51:20 CST 2006, sensor: 
Car reached at: 68, Time: Tue Nov 28 07:51:21 CST 2006, sensor: 
Car reached at: 69, Time: Tue Nov 28 07:51:22 CST 2006, sensor: 
Car reached at: 99, Time: Tue Nov 28 07:52:01 CST 2006, sensor: 
Car reached at: 100, Time: Tue Nov 28 07:52:14 CST 2006, sensor: 13
Car reached at: 97, Time: Tue Nov 28 07:52:22 CST 2006, sensor: 
Car reached at: 78, Time: Tue Nov 28 07:52:57 CST 2006, sensor: 
Car reached at: 80, Time: Tue Nov 28 07:52:57 CST 2006, sensor: 
Car reached at: 106, Time: Tue Nov 28 07:53:28 CST 2006, sensor: 
Car reached at: 105, Time: Tue Nov 28 07:53:29 CST 2006, sensor: 
Car reached at: 101, Time: Tue Nov 28 07:53:43 CST 2006, sensor: 
Car reached at: 103, Time: Tue Nov 28 07:53:45 CST 2006, sensor: 
Car reached at: 136, Time: Tue Nov 28 07:54:02 CST 2006, sensor: 
Car reached at: 135, Time: Tue Nov 28 07:54:03 CST 2006, sensor: 
Car reached at: 134, Time: Tue Nov 28 07:54:03 CST 2006, sensor: 
Car reached at: 133, Time: Tue Nov 28 07:54:04 CST 2006, sensor: 
Car reached at: 116, Time: Tue Nov 28 07:54:07 CST 2006, sensor: 
Car reached at: 118, Time: Tue Nov 28 07:54:08 CST 2006, sensor: 
Car reached at: 107, Time: Tue Nov 28 07:54:39 CST 2006, sensor: 
Car reached at: 102, Time: Tue Nov 28 07:54:45 CST 2006, sensor: 
Car reached at: 130, Time: Tue Nov 28 07:55:19 CST 2006, sensor: 
Car reached at: 109, Time: Tue Nov 28 07:55:39 CST 2006, sensor: 
Car reached at: 70, Time: Tue Nov 28 07:56:10 CST 2006, sensor: 
Car reached at: 104, Time: Tue Nov 28 07:56:47 CST 2006, sensor: 
